prefetcher,nsets,bsize,assoc,repl,chase_il1_hit_rate,chase_dl1_hit_rate,fmath_il1_hit_rate,fmath_dl1_hit_rate,graph_il1_hit_rate,graph_dl1_hit_rate,hotcold_il1_hit_rate,hotcold_dl1_hit_rate,lfustress_il1_hit_rate,lfustress_dl1_hit_rate,math_il1_hit_rate,math_dl1_hit_rate,printf_il1_hit_rate,printf_dl1_hit_rate,randompermutationbenchmark_il1_hit_rate,randompermutationbenchmark_dl1_hit_rate,stairstep_il1_hit_rate,stairstep_dl1_hit_rate,stride_il1_hit_rate,stride_dl1_hit_rate,temporaldecayaccess_il1_hit_rate,temporaldecayaccess_dl1_hit_rate
next_line,32,32,1,f,1,0.9824,0.7974,0.9131,0.9001,0.9011,1,0.97,1,0.9612,0.7788,0.917,0.8145,0.943,0.9876,0.952,1,0.9744,0.999,0.8432,1,0.9808
none,32,32,1,f,1,0.9824,0.7974,0.9131,0.9001,0.9011,1,0.97,1,0.9612,0.7788,0.917,0.8145,0.943,0.9876,0.952,1,0.9744,0.999,0.8432,1,0.9808
stride,32,32,1,f,1,0.9824,0.7974,0.9131,0.9001,0.901,1,0.97,1,0.9612,0.7788,0.917,0.8145,0.943,0.9876,0.952,1,0.9744,0.999,0.8432,1,0.9808
next_line,32,32,1,q,1,0.9824,0.7974,0.9131,0.9001,0.9011,1,0.97,1,0.9612,0.7788,0.917,0.8145,0.943,0.9876,0.952,1,0.9744,0.999,0.8432,1,0.9808
none,32,32,1,q,1,0.9824,0.7974,0.9131,0.9001,0.9011,1,0.97,1,0.9612,0.7788,0.917,0.8145,0.943,0.9876,0.952,1,0.9744,0.999,0.8432,1,0.9808
stride,32,32,1,q,1,0.9824,0.7974,0.9131,0.9001,0.901,1,0.97,1,0.9612,0.7788,0.917,0.8145,0.943,0.9876,0.952,1,0.9744,0.999,0.8432,1,0.9808
next_line,32,32,1,l,1,0.9824,0.7974,0.9131,0.9001,0.9011,1,0.97,1,0.9612,0.7788,0.917,0.8145,0.943,0.9876,0.952,1,0.9744,0.999,0.8432,1,0.9808
none,32,32,1,l,1,0.9824,0.7974,0.9131,0.9001,0.9011,1,0.97,1,0.9612,0.7788,0.917,0.8145,0.943,0.9876,0.952,1,0.9744,0.999,0.8432,1,0.9808
stride,32,32,1,l,1,0.9824,0.7974,0.9131,0.9001,0.9011,1,0.97,1,0.9612,0.7788,0.917,0.8145,0.943,0.9876,0.952,1,0.9744,0.999,0.8432,1,0.9808
next_line,32,32,1,r,1,0.9824,0.7974,0.9131,0.9001,0.901,1,0.97,1,0.9612,0.7788,0.917,0.8145,0.943,0.9876,0.952,1,0.9744,0.999,0.8432,1,0.9808
none,32,32,1,r,1,0.9824,0.7974,0.9131,0.9001,0.901,1,0.97,1,0.9612,0.7788,0.917,0.8145,0.943,0.9876,0.952,1,0.9744,0.999,0.8432,1,0.9808
stride,32,32,1,r,1,0.9824,0.7974,0.9131,0.9001,0.901,1,0.97,1,0.9612,0.7788,0.917,0.8145,0.943,0.9876,0.952,1,0.9744,0.999,0.8432,1,0.9808
next_line,32,16,2,f,1,0.9818,0.6663,0.9018,0.9033,0.9231,1,0.9809,1,0.9364,0.6295,0.9398,0.712,0.9523,0.9935,0.9524,1,0.9766,0.9983,0.8507,1,0.9838
none,32,16,2,f,1,0.9818,0.6663,0.9018,0.9034,0.9231,1,0.9809,1,0.9364,0.6295,0.9398,0.712,0.9523,0.9935,0.9524,1,0.9766,0.9983,0.8507,1,0.9838
stride,32,16,2,f,1,0.9818,0.6663,0.9018,0.9033,0.9231,1,0.9809,1,0.9364,0.6295,0.9398,0.712,0.9523,0.9935,0.9524,1,0.9766,0.9983,0.8507,1,0.9838
next_line,32,16,2,q,1,0.9821,0.6085,0.8981,0.7526,0.9191,0.6875,0.98,0.682,0.9437,0.5956,0.9399,0.5907,0.9415,0.9855,0.8899,0.9998,0.9773,0.9982,0.8411,1,0.9845
none,32,16,2,q,1,0.9821,0.6085,0.8981,0.7526,0.9191,0.6875,0.98,0.682,0.9437,0.5956,0.9399,0.5907,0.9415,0.9855,0.8899,0.9998,0.9773,0.9982,0.8411,1,0.9845
stride,32,16,2,q,1,0.9821,0.6085,0.8981,0.7524,0.9186,0.6875,0.98,0.682,0.9437,0.5956,0.9399,0.5907,0.9415,0.9855,0.8899,0.9998,0.9773,0.9982,0.8411,1,0.9845
next_line,32,16,2,l,1,0.9821,0.6683,0.9031,0.9016,0.93,1,0.9783,1,0.9373,0.6305,0.9432,0.7139,0.9618,0.9942,0.9546,1,0.9773,0.9983,0.8508,1,0.9843
none,32,16,2,l,1,0.9821,0.6683,0.9031,0.9016,0.93,1,0.9783,1,0.9373,0.6305,0.9432,0.7139,0.9618,0.9942,0.9546,1,0.9773,0.9983,0.8508,1,0.9843
stride,32,16,2,l,1,0.9821,0.6683,0.9031,0.9016,0.93,1,0.9783,1,0.9373,0.6305,0.9432,0.7139,0.9618,0.9942,0.9546,1,0.9773,0.9983,0.8508,1,0.9843
next_line,32,16,2,r,1,0.9815,0.6669,0.9015,0.9101,0.9206,1,0.9796,1,0.9367,0.6406,0.9387,0.7096,0.9518,0.9954,0.9425,1,0.976,0.9983,0.8483,1,0.9854
none,32,16,2,r,1,0.9815,0.6669,0.9015,0.9103,0.9206,1,0.9796,1,0.9367,0.6406,0.9387,0.7096,0.9518,0.9954,0.9425,1,0.976,0.9983,0.8483,1,0.9854
stride,32,16,2,r,1,0.9815,0.6669,0.9015,0.9101,0.9206,1,0.9796,1,0.9367,0.6406,0.9387,0.7096,0.9518,0.9954,0.9425,1,0.976,0.9983,0.8483,1,0.9854
next_line,32,8,4,f,1,0.9636,0.3991,0.8418,0.8449,0.9212,1,0.9771,1,0.9362,0.3447,0.9225,0.4934,0.9723,1,0.9322,1,0.9536,0.9969,0.8355,1,0.9679
none,32,8,4,f,1,0.9636,0.3991,0.8418,0.8448,0.9212,1,0.9771,1,0.9362,0.3447,0.9225,0.4934,0.9723,1,0.9322,1,0.9536,0.9969,0.8355,1,0.9679
stride,32,8,4,f,1,0.9636,0.3991,0.8418,0.8449,0.9212,1,0.9771,1,0.9362,0.3447,0.9225,0.4934,0.9723,1,0.9322,1,0.9536,0.9969,0.8355,1,0.9679
next_line,32,8,4,l,1,0.9641,0.4011,0.8463,0.8781,0.9292,1,0.9844,1,0.9372,0.3487,0.9301,0.5016,0.9768,1,0.9341,1,0.9545,0.9969,0.8355,1,0.9686
none,32,8,4,l,1,0.9641,0.4011,0.8463,0.8781,0.9292,1,0.9844,1,0.9372,0.3487,0.9301,0.5016,0.9768,1,0.9341,1,0.9545,0.9969,0.8355,1,0.9686
stride,32,8,4,l,1,0.9641,0.4011,0.8463,0.878,0.9292,1,0.9844,1,0.9372,0.3487,0.9301,0.5016,0.9768,1,0.9341,1,0.9545,0.9969,0.8355,1,0.9686
next_line,32,8,4,l,1,0.9641,0.4011,0.8463,0.8783,0.9292,1,0.9844,1,0.9372,0.3487,0.9301,0.5016,0.9768,1,0.9341,1,0.9545,0.9969,0.8355,1,0.9686
none,32,8,4,l,1,0.9641,0.4011,0.8463,0.8783,0.9292,1,0.9844,1,0.9372,0.3487,0.9301,0.5016,0.9768,1,0.9341,1,0.9545,0.9969,0.8355,1,0.9686
stride,32,8,4,l,1,0.9641,0.4011,0.8463,0.8783,0.9292,1,0.9844,1,0.9372,0.3487,0.9301,0.5016,0.9768,1,0.9341,1,0.9545,0.9969,0.8355,1,0.9686
next_line,32,8,4,r,1,0.9634,0.3964,0.837,0.8667,0.9193,1,0.9771,1,0.9371,0.3523,0.9259,0.4782,0.9717,1,0.9244,1,0.9534,0.9969,0.8355,1,0.9728
none,32,8,4,r,1,0.9634,0.3964,0.837,0.8667,0.9193,1,0.9771,1,0.9371,0.3523,0.9259,0.4782,0.9717,1,0.9244,1,0.9534,0.9969,0.8355,1,0.9728
stride,32,8,4,r,1,0.9634,0.3964,0.837,0.8667,0.9193,1,0.9771,1,0.9371,0.3523,0.9259,0.4782,0.9717,1,0.9244,1,0.9534,0.9969,0.8355,1,0.9728
